auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn,threshold_method,quantile,seed,n_estimators,max_samples,val_size,fit_size
0.9960649767501799,0.9656140948165801,0.9997650030843345,0.9823928416798962,0.003934930789697104,0.10709913194573062,68070,2424,613597,16,label-tuned upper bound,,0,500,1.0,100000,750000
0.9960649767501799,0.8488660590721508,0.9999853126927709,0.9182496813740366,0.01967790059105128,0.02557619138932976,68085,12122,603899,1,benign-q0.99,0.99,0,500,1.0,100000,750000
0.9960649767501799,0.9062133958044937,0.9999412507710836,0.9507729691231304,0.011437921759160807,0.06004911219261455,68082,7046,608975,4,benign-q0.995,0.995,0,500,1.0,100000,750000
0.9960649767501799,0.9510709345702989,0.9997796903915636,0.9748172334042203,0.005684871132639959,0.09155776652194877,68071,3502,612519,15,benign-q0.9975,0.9975,0,500,1.0,100000,750000
0.9960649767501799,0.005833333333333334,0.00010281115060364833,0.0002020610224287735,0.0019366222904738638,0.12545940925130028,7,1193,614828,68079,benign-q0.999,0.999,0,500,1.0,100000,750000
0.9993531117855877,0.9942008238628064,0.9996328173192727,0.9969094211389735,0.0006444585493027024,0.15075582690116773,68061,397,615624,25,label-tuned upper bound,,1,500,1.0,100000,750000
0.9993531117855877,0.8205978064360612,0.9999853126927709,0.9014537654909436,0.024163137295644142,0.03046209397998234,68085,14885,601136,1,benign-q0.99,0.99,1,500,1.0,100000,750000
0.9993531117855877,0.9004020419499035,0.9999559380783127,0.9475713291579679,0.012225232581356804,0.05663984417946084,68083,7531,608490,3,benign-q0.995,0.995,1,500,1.0,100000,750000
0.9993531117855877,0.9547424372046057,0.9998531269277091,0.9767772205841206,0.005238457779848414,0.0892580951650582,68076,3227,612794,10,benign-q0.9975,0.9975,1,500,1.0,100000,750000
0.9993531117855877,0.9855206764739951,0.9996768792409599,0.9925483047757928,0.0016233212828783434,0.12778537863684916,68064,1000,615021,22,benign-q0.999,0.999,1,500,1.0,100000,750000
0.9980093748940827,0.9820369648963339,0.9996768792409599,0.99077841260599,0.0020210349971835377,0.12187022365404321,68064,1245,614776,22,label-tuned upper bound,,2,500,1.0,100000,750000
0.9980093748940827,0.8402236153618323,0.9999853126927709,0.9131694362853578,0.021017140649425912,0.02701245863871712,68085,12947,603074,1,benign-q0.99,0.99,2,500,1.0,100000,750000
0.9980093748940827,0.9158774148415219,0.9998971888493964,0.9560448819671671,0.010150627981838281,0.06255631171848482,68079,6253,609768,7,benign-q0.995,0.995,2,500,1.0,100000,750000
0.9980093748940827,0.9592486648724055,0.99983843962048,0.9791230681826354,0.004694645150084169,0.09532960946172805,68075,2892,613129,11,benign-q0.9975,0.9975,2,500,1.0,100000,750000
0.9980093748940827,0.002072538860103627,2.9374614458185237e-05,5.7928197998580766e-05,0.0015632583954118446,0.13147218900395008,2,963,615058,68084,benign-q0.999,0.999,2,500,1.0,100000,750000
0.9977117970665795,0.979719323497661,0.9997062538554181,0.9896118812744892,0.0022872596875755857,0.11546597696535799,68066,1409,614612,20,label-tuned upper bound,,3,500,1.0,100000,750000
0.9977117970665795,0.8341807667332362,0.9999853126927709,0.9095888580875723,0.0219700302424755,0.02187002685599948,68085,13534,602487,1,benign-q0.99,0.99,3,500,1.0,100000,750000
0.9977117970665795,0.9115312010496298,0.9999853126927709,0.9537116802891181,0.010726907037260093,0.05618667580671667,68085,6608,609413,1,benign-q0.995,0.995,3,500,1.0,100000,750000
0.9977117970665795,0.95524964216553,0.9998090650060218,0.9770215575393978,0.005176771571099037,0.09013126874797793,68073,3189,612832,13,benign-q0.9975,0.9975,3,500,1.0,100000,750000
0.9977117970665795,0.0019588638589618022,2.9374614458185237e-05,5.7881256602080835e-05,0.001654164387253032,0.12904244372761353,2,1019,615002,68084,benign-q0.999,0.999,3,500,1.0,100000,750000
0.9992670592826223,0.9933012259194396,0.9996328173192727,0.9964569638229653,0.0007451044688411596,0.15205435721709337,68061,459,615562,25,label-tuned upper bound,,4,500,1.0,100000,750000
0.9992670592826223,0.8168958318335613,0.9999853126927709,0.8992154894606159,0.0247735060980064,0.02998288156542806,68085,15261,600760,1,benign-q0.99,0.99,4,500,1.0,100000,750000
0.9992670592826223,0.9129356235836786,0.9999706253855418,0.954473128982287,0.010540225089729084,0.06187036332119289,68084,6493,609528,2,benign-q0.995,0.995,4,500,1.0,100000,750000
0.9992670592826223,0.9576024420093122,0.99983843962048,0.9782647745643972,0.004892690346595327,0.09192563378269336,68075,3014,613007,11,benign-q0.9975,0.9975,4,500,1.0,100000,750000
0.9992670592826223,0.9832288446537428,0.999691566548189,0.9913918666977395,0.0018846760094217566,0.12490208402518774,68065,1161,614860,21,benign-q0.999,0.999,4,500,1.0,100000,750000
