threshold_method,n_estimators,max_samples,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
label-tuned upper bound,500,1.0,0.9980812639558104,0.0013445069146551106,0.9829744865985642,0.011678296429182645,0.9996827541638516,5.5540552833719036e-05,0.9912299041044628,0.0059265205178351855,0.0019265576985200178,0.0013427773754962115,68064.4,3.7815340802369897,1186.8,827.1790616305516,614834.2,827.1790616305589,21.6,3.7815340802378072
benign-q0.9975,500,1.0,0.9980812639558104,0.0013445069146551106,0.9555828241644304,0.0031101307260257994,0.9998237523132509,2.937461445819481e-05,0.9772007708549543,0.0016370777267104189,0.0051374871960533815,0.0003766304787621556,68074.0,2.0,3164.8,232.01228415754198,612856.2,232.0122841575467,12.0,2.0
benign-q0.995,500,1.0,0.9980812639558104,0.0013445069146551106,0.9093919354458455,0.006126110618767897,0.9999500631554211,3.3812720480620315e-05,0.9525147979039341,0.0033615819302033256,0.011016182889869015,0.0008214417927630347,68082.6,2.302172886643517,6786.2,506.02539461967706,609234.8,506.02539461968524,3.4,2.3021728866442674
benign-q0.99,500,1.0,0.9980812639558104,0.0013445069146551106,0.8321528158873683,0.013368589046547367,0.9999853126927709,0.0,0.9083354461397052,0.007964949794270293,0.022320342975320644,0.0021340956680006105,68085.0,0.0,13749.8,1314.6477474974047,602271.2,1314.6477474973963,1.0,0.0
benign-q0.999,500,1.0,0.9980812639558104,0.0013445069146551106,0.3957228514360273,0.5373660878107951,0.39990600123373377,0.5475201033520619,0.39685160839011235,0.5432665144275888,0.0017324084730877681,0.00016697498813167784,27228.0,37278.45375682849,1067.2,102.8600991638643,614953.8,102.86009916387094,40858.0,37278.45375682849
