dataset,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
wget,1,200,auto,0.05,0.9104,0.875,0.84,0.8571428571428571,0.12,-0.04010869140964424,21,3,22,4
wget,1,200,auto,0.1,0.9104,0.875,0.84,0.8571428571428571,0.12,-0.01932500945505411,21,3,22,4
wget,1,200,0.5,auto,0.8927999999999999,1.0,0.76,0.8636363636363636,0.0,0.023418794465276505,19,0,25,6
wget,1,200,0.5,0.01,0.8927999999999999,1.0,0.76,0.8636363636363636,0.0,-0.11256284894857438,19,0,25,6
wget,1,200,0.5,0.05,0.8927999999999999,1.0,0.76,0.8636363636363636,0.0,-0.018683768696125314,19,0,25,6
wget,1,200,0.5,0.1,0.8927999999999999,1.0,0.76,0.8636363636363636,0.0,-0.009888311100101577,19,0,25,6
wget,1,200,1.0,auto,0.9104,0.875,0.84,0.8571428571428571,0.12,-0.009506438152532715,21,3,22,4
wget,1,200,1.0,0.01,0.9104,0.875,0.84,0.8571428571428571,0.12,-0.1507027936827937,21,3,22,4
wget,1,200,1.0,0.05,0.9104,0.875,0.84,0.8571428571428571,0.12,-0.04010869140964424,21,3,22,4
wget,1,200,1.0,0.1,0.9104,0.875,0.84,0.8571428571428571,0.12,-0.01932500945505411,21,3,22,4
wget,2,50,auto,auto,0.9024,0.9130434782608695,0.84,0.875,0.08,0.003534882165114328,21,2,23,4
wget,2,50,auto,0.01,0.9024,0.9130434782608695,0.84,0.875,0.08,-0.1307758368442079,21,2,23,4
wget,2,50,auto,0.05,0.9024,0.9130434782608695,0.84,0.875,0.08,-0.026198200640685787,21,2,23,4
wget,2,50,auto,0.1,0.9024,0.9130434782608695,0.84,0.875,0.08,-0.014732307118206278,21,2,23,4
wget,2,50,0.5,auto,0.8752,0.7857142857142857,0.88,0.8301886792452831,0.24,-0.003492107212026252,22,6,19,3
wget,2,50,0.5,0.01,0.8752,0.7857142857142857,0.88,0.8301886792452831,0.24,-0.1605361877592038,22,6,19,3
wget,2,50,0.5,0.05,0.8752,0.7857142857142857,0.88,0.8301886792452831,0.24,-0.05067112059911022,22,6,19,3
wget,2,50,0.5,0.1,0.8752,0.7857142857142857,0.88,0.8301886792452831,0.24,-0.04163190571341763,22,6,19,3
