dataset,n_estimators,max_samples,contamination,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
trace,50,0.5,0.01,0.9888068413797846,0.003157362302348296,0.9074195762487001,0.02360133913793359,0.9997885027759011,1.970509042244954e-05,0.9512382667850344,0.013008022183651246,0.011340522482188106,0.003191629639117694
trace,50,0.5,0.05,0.9888068413797846,0.003157362302348296,0.9074195762487001,0.02360133913793359,0.9997885027759011,1.970509042244954e-05,0.9512382667850344,0.013008022183651246,0.011340522482188106,0.003191629639117694
trace,50,0.5,0.1,0.9888068413797846,0.003157362302348296,0.9074195762487001,0.02360133913793359,0.9997885027759011,1.970509042244954e-05,0.9512382667850344,0.013008022183651246,0.011340522482188106,0.003191629639117694
trace,50,0.5,auto,0.9888068413797846,0.003157362302348296,0.9074195762487001,0.02360133913793359,0.9997885027759011,1.970509042244954e-05,0.9512382667850344,0.013008022183651246,0.011340522482188106,0.003191629639117694
trace,50,1.0,0.01,0.9898342938487567,0.004001858077108928,0.9160346416296268,0.030173067598659682,0.9998031900831302,3.686484856806025e-05,0.9558798811611622,0.01643282572533884,0.01023406669577823,0.003987063226191221
trace,50,1.0,0.05,0.9898342938487567,0.004001858077108928,0.9160346416296268,0.030173067598659682,0.9998031900831302,3.686484856806025e-05,0.9558798811611622,0.01643282572533884,0.01023406669577823,0.003987063226191221
trace,50,1.0,0.1,0.9898342938487567,0.004001858077108928,0.9160346416296268,0.030173067598659682,0.9998031900831302,3.686484856806025e-05,0.9558798811611622,0.01643282572533884,0.01023406669577823,0.003987063226191221
trace,50,1.0,auto,0.9898342938487567,0.004001858077108928,0.9160346416296268,0.030173067598659682,0.9998031900831302,3.686484856806025e-05,0.9558798811611622,0.01643282572533884,0.01023406669577823,0.003987063226191221
trace,50,auto,0.01,0.9329592248354587,0.022188874621653108,0.6300985299761684,0.07766230185825061,0.999935375848192,5.0452557169793034e-05,0.7708247025019144,0.05872863780283269,0.06706037618847409,0.022195598220194384
trace,50,auto,0.05,0.9329592248354587,0.022188874621653108,0.6300985299761684,0.07766230185825061,0.999935375848192,5.0452557169793034e-05,0.7708247025019144,0.05872863780283269,0.06706037618847409,0.022195598220194384
trace,50,auto,0.1,0.9329592248354587,0.022188874621653108,0.6300985299761684,0.07766230185825061,0.999935375848192,5.0452557169793034e-05,0.7708247025019144,0.05872863780283269,0.06706037618847409,0.022195598220194384
