graph_construction,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
cyclic-original,0.925719340804854,0.024972590251262045,0.6058669247460563,0.0783564875271132,0.9999265634638546,6.144141428001749e-05,0.7521375417513255,0.061707546085223844,0.07446564321670852,0.024901669471948804
first-seen-DAG,0.9087924544578042,0.01313669664991132,0.5481864181923054,0.036050603030003674,0.9935992715095615,0.005796114635269997,0.7059353626480169,0.02874592515245788,0.09122481214114454,0.013208508797816475
