metric,mean,std
auc,0.9919059213777519,0.002533285762811051
precision,0.9319811666027121,0.020386332453530494
recall,0.9998002526216844,5.151037780677405e-05
f1,0.9646085569615266,0.010794830014499834
fpr,0.008109463800747053,0.002543336411744771
