dataset,seed,checkpoint,train_time_s,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
trace,0,reviewer_required_experiments_trace_multiseed_opt\checkpoints\checkpoint-trace-seed0.pt,121.86477565765381,0.9900377615930598,0.9172887750976957,0.9997943776987928,0.9567661775453983,0.009963946034307272,0.10229850107846272,68072,6138,609883,14
trace,1,reviewer_required_experiments_trace_multiseed_opt\checkpoints\checkpoint-trace-seed1.pt,121.2884795665741,0.9960778777864845,0.9657359325785307,0.9997209411626472,0.9824346169389758,0.0039203208981512,0.1290396126214478,68067,2415,613606,19
trace,2,reviewer_required_experiments_trace_multiseed_opt\checkpoints\checkpoint-trace-seed2.pt,120.9525294303894,0.9908057533517823,0.9226140460249912,0.9998531269277091,0.9596819668433517,0.009269164525235341,0.09493872558481131,68076,5710,610311,10
trace,3,reviewer_required_experiments_trace_multiseed_opt\checkpoints\checkpoint-trace-seed3.pt,121.20741510391235,0.9901124327984858,0.9178486678891166,0.99983843962048,0.9570908375159926,0.009890896576577747,0.08887801218370184,68075,6093,609928,11
trace,4,reviewer_required_experiments_trace_multiseed_opt\checkpoints\checkpoint-trace-seed4.pt,121.29682922363281,0.9924957813589468,0.9364184114232261,0.9997943776987928,0.9670691859639153,0.007502990969463703,0.10640643077092993,68072,4622,611399,14
