"dataset","corruption","pooling","seed","checkpoint","train_time_s","peak_memory_mb","auc","precision","recall","f1","fpr","tp","fp","tn","fn"
"streamspot","none","typed","3","reviewer_experiments\checkpoints\streamspot_none_seed3.pt","41.687790632247925","3171.40380859375","0.9821000000000001","0.9895833333333334","0.95","0.969387754602249","0.01","95","1","99","5"
"streamspot","none","global","4","reviewer_experiments\checkpoints\streamspot_none_seed4.pt","42.580710649490356","3145.65478515625","0.9895999999999999","0.9615384615384616","1.0","0.9803921563629372","0.04","100","4","96","0"
"streamspot","none","typed","4","reviewer_experiments\checkpoints\streamspot_none_seed4.pt","42.580710649490356","3145.65478515625","0.9575","0.95","0.95","0.9499999995","0.05","95","5","95","5"
"wget","gaussian","global","0","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed0.pt","51.29714035987854","3750.39990234375","0.8672","0.9523809523809523","0.8","0.869565216895085","0.04","20","1","24","5"
"wget","gaussian","typed","0","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed0.pt","51.29714035987854","3750.39990234375","0.8896","1.0","0.76","0.8636363631456612","0.0","19","0","25","6"
"wget","gaussian","global","1","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed1.pt","52.024773359298706","3759.89208984375","0.8544","0.8695652173913043","0.8","0.8333333328342013","0.12","20","3","22","5"
"wget","gaussian","typed","1","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed1.pt","52.024773359298706","3759.89208984375","0.8864000000000001","1.0","0.72","0.8372093018388317","0.0","18","0","25","7"
"wget","gaussian","global","2","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed2.pt","52.216307640075684","3761.68310546875","0.7856","0.7407407407407407","0.8","0.7692307687315088","0.28","20","7","18","5"
"wget","gaussian","typed","2","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed2.pt","52.216307640075684","3761.68310546875","0.84","0.8","0.8","0.7999999995000001","0.2","20","5","20","5"
"wget","gaussian","global","3","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed3.pt","52.10417985916138","3760.2763671875","0.8656","0.8333333333333334","0.8","0.8163265301124533","0.16","20","4","21","5"
"wget","gaussian","typed","3","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed3.pt","52.10417985916138","3760.2763671875","0.904","0.7931034482758621","0.92","0.8518518513545954","0.24","23","6","19","2"
"wget","gaussian","global","4","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed4.pt","52.601712703704834","3761.09375","0.7968","0.8","0.8","0.7999999995000001","0.2","20","5","20","5"
"wget","gaussian","typed","4","reviewer_experiments_wget_e5\checkpoints\wget_gaussian_seed4.pt","52.601712703704834","3761.09375","0.8575999999999999","0.9473684210526315","0.72","0.8181818176911155","0.04","18","1","24","7"
"wget","mask","global","0","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed0.pt","51.18871355056763","3768.357421875","0.8848","0.8695652173913043","0.8","0.8333333328342013","0.12","20","3","22","5"
"wget","mask","typed","0","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed0.pt","51.18871355056763","3768.357421875","0.9264","0.9565217391304348","0.88","0.9166666661675347","0.04","22","1","24","3"
"wget","mask","global","1","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed1.pt","50.112430572509766","3768.20556640625","0.8368","0.75","0.84","0.7924528296902813","0.28","21","7","18","4"
