variant,corruption,edge_recon,max_epoch,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
mask_edge1,mask,True,10,0.8761599999999999,0.05064195888786301,0.9154691075514874,0.055877274851623936,0.768,0.0715541752799933,0.833989898989899,0.05612131574918983,0.072,0.05215361924162119
none_edge1,none,True,10,0.87776,0.040502444370679666,0.917878787878788,0.05021075874598556,0.768,0.07694153624668537,0.833411492256477,0.04118558976320482,0.072,0.04381780460041329
mask_edge0,mask,False,10,0.8928,0.022627416997969555,0.844751552795031,0.12644321361710104,0.8400000000000001,0.08485281374238565,0.8323609979314236,0.035691830783032154,0.184,0.17572706109191039
mask_edge1,mask,True,20,0.8764800000000001,0.03581999441652666,0.8546120546120546,0.12366308230399865,0.8320000000000001,0.09959919678390983,0.8321056891766883,0.04278524208911268,0.17600000000000002,0.21651789764358975
mask_edge0,mask,False,20,0.88416,0.047092759528403125,0.7918061002178649,0.06387970298389724,0.8800000000000001,0.07483314773547879,0.8303174017266027,0.038859917155279866,0.24000000000000005,0.10583005244258363
gaussian_edge0,gaussian,False,20,0.88256,0.033305374941591595,0.802903114344762,0.08369777547333228,0.8640000000000001,0.09208691546577068,0.825509947568771,0.03175769865228276,0.23200000000000004,0.16346253393362042
none_edge1,none,True,20,0.87296,0.031161001267610133,0.8653184014053579,0.06762451824864278,0.784,0.03577708763999664,0.820675577377705,0.02572194034925424,0.128,0.07694153624668537
gaussian_edge0,gaussian,False,10,0.87072,0.02779122163561723,0.8387590187590188,0.12775300969188025,0.8240000000000001,0.11523888232710347,0.8175125481257934,0.02355234362718869,0.192,0.16828547174370106
