variant,n_estimators,max_samples,contamination,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
gaussian_edge0,100,1.0,0.01,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.03644127441116636,0.152,0.16589153082662178
gaussian_edge0,100,1.0,0.05,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.03644127441116636,0.152,0.16589153082662178
gaussian_edge0,100,1.0,0.1,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.03644127441116636,0.152,0.16589153082662178
gaussian_edge0,100,1.0,auto,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.03644127441116636,0.152,0.16589153082662178
gaussian_edge0,100,auto,0.01,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.03644127441116636,0.152,0.16589153082662178
gaussian_edge0,100,auto,0.05,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.03644127441116636,0.152,0.16589153082662178
gaussian_edge0,100,auto,0.1,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.03644127441116636,0.152,0.16589153082662178
gaussian_edge0,100,auto,auto,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.03644127441116636,0.152,0.16589153082662178
none_edge1,100,1.0,0.01,0.88256,0.03053863127253743,0.8616296296296296,0.035845270286614384,0.8320000000000001,0.0715541752799933,0.8444960753532182,0.03639103429221646,0.136,0.045607017003965515
none_edge1,100,1.0,0.05,0.88256,0.03053863127253743,0.8616296296296296,0.035845270286614384,0.8320000000000001,0.0715541752799933,0.8444960753532182,0.03639103429221646,0.136,0.045607017003965515
none_edge1,100,1.0,0.1,0.88256,0.03053863127253743,0.8616296296296296,0.035845270286614384,0.8320000000000001,0.0715541752799933,0.8444960753532182,0.03639103429221646,0.136,0.045607017003965515
none_edge1,100,1.0,auto,0.88256,0.03053863127253743,0.8616296296296296,0.035845270286614384,0.8320000000000001,0.0715541752799933,0.8444960753532182,0.03639103429221646,0.136,0.045607017003965515
none_edge1,100,auto,0.01,0.88256,0.03053863127253743,0.8616296296296296,0.035845270286614384,0.8320000000000001,0.0715541752799933,0.8444960753532182,0.03639103429221646,0.136,0.045607017003965515
none_edge1,100,auto,0.05,0.88256,0.03053863127253743,0.8616296296296296,0.035845270286614384,0.8320000000000001,0.0715541752799933,0.8444960753532182,0.03639103429221646,0.136,0.045607017003965515
none_edge1,100,auto,0.1,0.88256,0.03053863127253743,0.8616296296296296,0.035845270286614384,0.8320000000000001,0.0715541752799933,0.8444960753532182,0.03639103429221646,0.136,0.045607017003965515
none_edge1,100,auto,auto,0.88256,0.03053863127253743,0.8616296296296296,0.035845270286614384,0.8320000000000001,0.0715541752799933,0.8444960753532182,0.03639103429221646,0.136,0.045607017003965515
mask_edge0,200,1.0,0.01,0.88608,0.03741058673691176,0.7936723557413213,0.05981199385603824,0.8960000000000001,0.05366563145999495,0.8395498134414391,0.035461851706430104,0.24,0.09797958971132711
mask_edge0,200,1.0,0.05,0.88608,0.03741058673691176,0.7936723557413213,0.05981199385603824,0.8960000000000001,0.05366563145999495,0.8395498134414391,0.035461851706430104,0.24,0.09797958971132711
mask_edge0,200,1.0,0.1,0.88608,0.03741058673691176,0.7936723557413213,0.05981199385603824,0.8960000000000001,0.05366563145999495,0.8395498134414391,0.035461851706430104,0.24,0.09797958971132711
mask_edge0,200,1.0,auto,0.88608,0.03741058673691176,0.7936723557413213,0.05981199385603824,0.8960000000000001,0.05366563145999495,0.8395498134414391,0.035461851706430104,0.24,0.09797958971132711
mask_edge0,200,auto,0.01,0.88608,0.03741058673691176,0.7936723557413213,0.05981199385603824,0.8960000000000001,0.05366563145999495,0.8395498134414391,0.035461851706430104,0.24,0.09797958971132711
mask_edge0,200,auto,0.05,0.88608,0.03741058673691176,0.7936723557413213,0.05981199385603824,0.8960000000000001,0.05366563145999495,0.8395498134414391,0.035461851706430104,0.24,0.09797958971132711
mask_edge0,200,auto,0.1,0.88608,0.03741058673691176,0.7936723557413213,0.05981199385603824,0.8960000000000001,0.05366563145999495,0.8395498134414391,0.035461851706430104,0.24,0.09797958971132711
mask_edge0,200,auto,auto,0.88608,0.03741058673691176,0.7936723557413213,0.05981199385603824,0.8960000000000001,0.05366563145999495,0.8395498134414391,0.035461851706430104,0.24,0.09797958971132711
mask_edge0,500,1.0,0.01,0.8867200000000001,0.03656271324724137,0.7919299729644557,0.055061221855779434,0.8880000000000001,0.052153619241621194,0.8350720410391383,0.029985043415652925,0.24000000000000005,0.0938083151964686
mask_edge0,500,1.0,0.05,0.8867200000000001,0.03656271324724137,0.7919299729644557,0.055061221855779434,0.8880000000000001,0.052153619241621194,0.8350720410391383,0.029985043415652925,0.24000000000000005,0.0938083151964686
mask_edge0,500,1.0,0.1,0.8867200000000001,0.03656271324724137,0.7919299729644557,0.055061221855779434,0.8880000000000001,0.052153619241621194,0.8350720410391383,0.029985043415652925,0.24000000000000005,0.0938083151964686
mask_edge0,500,1.0,auto,0.8867200000000001,0.03656271324724137,0.7919299729644557,0.055061221855779434,0.8880000000000001,0.052153619241621194,0.8350720410391383,0.029985043415652925,0.24000000000000005,0.0938083151964686
mask_edge0,500,auto,0.01,0.8867200000000001,0.03656271324724137,0.7919299729644557,0.055061221855779434,0.8880000000000001,0.052153619241621194,0.8350720410391383,0.029985043415652925,0.24000000000000005,0.0938083151964686
mask_edge0,500,auto,0.05,0.8867200000000001,0.03656271324724137,0.7919299729644557,0.055061221855779434,0.8880000000000001,0.052153619241621194,0.8350720410391383,0.029985043415652925,0.24000000000000005,0.0938083151964686
mask_edge0,500,auto,0.1,0.8867200000000001,0.03656271324724137,0.7919299729644557,0.055061221855779434,0.8880000000000001,0.052153619241621194,0.8350720410391383,0.029985043415652925,0.24000000000000005,0.0938083151964686
mask_edge0,500,auto,auto,0.8867200000000001,0.03656271324724137,0.7919299729644557,0.055061221855779434,0.8880000000000001,0.052153619241621194,0.8350720410391383,0.029985043415652925,0.24000000000000005,0.0938083151964686
gaussian_edge0,200,1.0,0.01,0.8848,0.03271207728041741,0.8294432725672115,0.10719035916160118,0.8560000000000001,0.09208691546577073,0.833678610457774,0.035118935867514606,0.2,0.15491933384829668
gaussian_edge0,200,1.0,0.05,0.8848,0.03271207728041741,0.8294432725672115,0.10719035916160118,0.8560000000000001,0.09208691546577073,0.833678610457774,0.035118935867514606,0.2,0.15491933384829668
gaussian_edge0,200,1.0,0.1,0.8848,0.03271207728041741,0.8294432725672115,0.10719035916160118,0.8560000000000001,0.09208691546577073,0.833678610457774,0.035118935867514606,0.2,0.15491933384829668
gaussian_edge0,200,1.0,auto,0.8848,0.03271207728041741,0.8294432725672115,0.10719035916160118,0.8560000000000001,0.09208691546577073,0.833678610457774,0.035118935867514606,0.2,0.15491933384829668
gaussian_edge0,200,auto,0.01,0.8848,0.03271207728041741,0.8294432725672115,0.10719035916160118,0.8560000000000001,0.09208691546577073,0.833678610457774,0.035118935867514606,0.2,0.15491933384829668
gaussian_edge0,200,auto,0.05,0.8848,0.03271207728041741,0.8294432725672115,0.10719035916160118,0.8560000000000001,0.09208691546577073,0.833678610457774,0.035118935867514606,0.2,0.15491933384829668
gaussian_edge0,200,auto,0.1,0.8848,0.03271207728041741,0.8294432725672115,0.10719035916160118,0.8560000000000001,0.09208691546577073,0.833678610457774,0.035118935867514606,0.2,0.15491933384829668
gaussian_edge0,200,auto,auto,0.8848,0.03271207728041741,0.8294432725672115,0.10719035916160118,0.8560000000000001,0.09208691546577073,0.833678610457774,0.035118935867514606,0.2,0.15491933384829668
mask_edge1,100,1.0,0.01,0.87712,0.048759327312833216,0.846574164880801,0.11677057876598329,0.8400000000000001,0.11661903789690597,0.8314194259846432,0.045942108717458977,0.184,0.1971801207018598
mask_edge1,100,1.0,0.05,0.87712,0.048759327312833216,0.846574164880801,0.11677057876598329,0.8400000000000001,0.11661903789690597,0.8314194259846432,0.045942108717458977,0.184,0.1971801207018598
mask_edge1,100,1.0,0.1,0.87712,0.048759327312833216,0.846574164880801,0.11677057876598329,0.8400000000000001,0.11661903789690597,0.8314194259846432,0.045942108717458977,0.184,0.1971801207018598
mask_edge1,100,1.0,auto,0.87712,0.048759327312833216,0.846574164880801,0.11677057876598329,0.8400000000000001,0.11661903789690597,0.8314194259846432,0.045942108717458977,0.184,0.1971801207018598
mask_edge1,100,auto,0.01,0.87712,0.048759327312833216,0.846574164880801,0.11677057876598329,0.8400000000000001,0.11661903789690597,0.8314194259846432,0.045942108717458977,0.184,0.1971801207018598
mask_edge1,100,auto,0.05,0.87712,0.048759327312833216,0.846574164880801,0.11677057876598329,0.8400000000000001,0.11661903789690597,0.8314194259846432,0.045942108717458977,0.184,0.1971801207018598
mask_edge1,100,auto,0.1,0.87712,0.048759327312833216,0.846574164880801,0.11677057876598329,0.8400000000000001,0.11661903789690597,0.8314194259846432,0.045942108717458977,0.184,0.1971801207018598
mask_edge1,100,auto,auto,0.87712,0.048759327312833216,0.846574164880801,0.11677057876598329,0.8400000000000001,0.11661903789690597,0.8314194259846432,0.045942108717458977,0.184,0.1971801207018598
gaussian_edge0,100,0.5,0.01,0.8688,0.03494452746854646,0.8366117313485735,0.0974299548735355,0.8400000000000001,0.07999999999999999,0.8309313577105213,0.024810613813067383,0.184,0.14028542333400146
gaussian_edge0,100,0.5,0.05,0.8688,0.03494452746854646,0.8366117313485735,0.0974299548735355,0.8400000000000001,0.07999999999999999,0.8309313577105213,0.024810613813067383,0.184,0.14028542333400146
gaussian_edge0,100,0.5,0.1,0.8688,0.03494452746854646,0.8366117313485735,0.0974299548735355,0.8400000000000001,0.07999999999999999,0.8309313577105213,0.024810613813067383,0.184,0.14028542333400146
gaussian_edge0,100,0.5,auto,0.8688,0.03494452746854646,0.8366117313485735,0.0974299548735355,0.8400000000000001,0.07999999999999999,0.8309313577105213,0.024810613813067383,0.184,0.14028542333400146
gaussian_edge0,500,1.0,0.01,0.88416,0.03410290310222869,0.8629901677270098,0.060141513450410924,0.808,0.09121403400793107,0.8297702889045843,0.0333538486462555,0.136,0.0726636084983398
gaussian_edge0,500,1.0,0.05,0.88416,0.03410290310222869,0.8629901677270098,0.060141513450410924,0.808,0.09121403400793107,0.8297702889045843,0.0333538486462555,0.136,0.0726636084983398
gaussian_edge0,500,1.0,0.1,0.88416,0.03410290310222869,0.8629901677270098,0.060141513450410924,0.808,0.09121403400793107,0.8297702889045843,0.0333538486462555,0.136,0.0726636084983398
gaussian_edge0,500,1.0,auto,0.88416,0.03410290310222869,0.8629901677270098,0.060141513450410924,0.808,0.09121403400793107,0.8297702889045843,0.0333538486462555,0.136,0.0726636084983398
gaussian_edge0,500,auto,0.01,0.88416,0.03410290310222869,0.8629901677270098,0.060141513450410924,0.808,0.09121403400793107,0.8297702889045843,0.0333538486462555,0.136,0.0726636084983398
gaussian_edge0,500,auto,0.05,0.88416,0.03410290310222869,0.8629901677270098,0.060141513450410924,0.808,0.09121403400793107,0.8297702889045843,0.0333538486462555,0.136,0.0726636084983398
gaussian_edge0,500,auto,0.1,0.88416,0.03410290310222869,0.8629901677270098,0.060141513450410924,0.808,0.09121403400793107,0.8297702889045843,0.0333538486462555,0.136,0.0726636084983398
gaussian_edge0,500,auto,auto,0.88416,0.03410290310222869,0.8629901677270098,0.060141513450410924,0.808,0.09121403400793107,0.8297702889045843,0.0333538486462555,0.136,0.0726636084983398
mask_edge1,500,1.0,0.01,0.87424,0.039639979818360156,0.9145454545454544,0.05086036629345225,0.76,0.040000000000000036,0.829692671394799,0.039283923467114575,0.072,0.04381780460041329
mask_edge1,500,1.0,0.05,0.87424,0.039639979818360156,0.9145454545454544,0.05086036629345225,0.76,0.040000000000000036,0.829692671394799,0.039283923467114575,0.072,0.04381780460041329
mask_edge1,500,1.0,0.1,0.87424,0.039639979818360156,0.9145454545454544,0.05086036629345225,0.76,0.040000000000000036,0.829692671394799,0.039283923467114575,0.072,0.04381780460041329
mask_edge1,500,1.0,auto,0.87424,0.039639979818360156,0.9145454545454544,0.05086036629345225,0.76,0.040000000000000036,0.829692671394799,0.039283923467114575,0.072,0.04381780460041329
mask_edge1,500,auto,0.01,0.87424,0.039639979818360156,0.9145454545454544,0.05086036629345225,0.76,0.040000000000000036,0.829692671394799,0.039283923467114575,0.072,0.04381780460041329
mask_edge1,500,auto,0.05,0.87424,0.039639979818360156,0.9145454545454544,0.05086036629345225,0.76,0.040000000000000036,0.829692671394799,0.039283923467114575,0.072,0.04381780460041329
mask_edge1,500,auto,0.1,0.87424,0.039639979818360156,0.9145454545454544,0.05086036629345225,0.76,0.040000000000000036,0.829692671394799,0.039283923467114575,0.072,0.04381780460041329
mask_edge1,500,auto,auto,0.87424,0.039639979818360156,0.9145454545454544,0.05086036629345225,0.76,0.040000000000000036,0.829692671394799,0.039283923467114575,0.072,0.04381780460041329
none_edge1,200,1.0,0.01,0.8755200000000001,0.03264156858975995,0.8444175084175084,0.03483560327315688,0.8160000000000001,0.060663003552412414,0.8286350245499182,0.03382017256163562,0.152,0.04381780460041329
none_edge1,200,1.0,0.05,0.8755200000000001,0.03264156858975995,0.8444175084175084,0.03483560327315688,0.8160000000000001,0.060663003552412414,0.8286350245499182,0.03382017256163562,0.152,0.04381780460041329
none_edge1,200,1.0,0.1,0.8755200000000001,0.03264156858975995,0.8444175084175084,0.03483560327315688,0.8160000000000001,0.060663003552412414,0.8286350245499182,0.03382017256163562,0.152,0.04381780460041329
none_edge1,200,1.0,auto,0.8755200000000001,0.03264156858975995,0.8444175084175084,0.03483560327315688,0.8160000000000001,0.060663003552412414,0.8286350245499182,0.03382017256163562,0.152,0.04381780460041329
none_edge1,200,auto,0.01,0.8755200000000001,0.03264156858975995,0.8444175084175084,0.03483560327315688,0.8160000000000001,0.060663003552412414,0.8286350245499182,0.03382017256163562,0.152,0.04381780460041329
none_edge1,200,auto,0.05,0.8755200000000001,0.03264156858975995,0.8444175084175084,0.03483560327315688,0.8160000000000001,0.060663003552412414,0.8286350245499182,0.03382017256163562,0.152,0.04381780460041329
none_edge1,200,auto,0.1,0.8755200000000001,0.03264156858975995,0.8444175084175084,0.03483560327315688,0.8160000000000001,0.060663003552412414,0.8286350245499182,0.03382017256163562,0.152,0.04381780460041329
none_edge1,200,auto,auto,0.8755200000000001,0.03264156858975995,0.8444175084175084,0.03483560327315688,0.8160000000000001,0.060663003552412414,0.8286350245499182,0.03382017256163562,0.152,0.04381780460041329
mask_edge0,100,1.0,0.01,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
mask_edge0,100,1.0,0.05,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
mask_edge0,100,1.0,0.1,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
mask_edge0,100,1.0,auto,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
mask_edge0,100,auto,0.01,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
mask_edge0,100,auto,0.05,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
mask_edge0,100,auto,0.1,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
mask_edge0,100,auto,auto,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
none_edge1,500,1.0,0.01,0.87328,0.03452813345664658,0.8819776714513556,0.10517854605293488,0.792,0.0819756061276768,0.8263189488427933,0.02480077385188042,0.128,0.15336231610144652
none_edge1,500,1.0,0.05,0.87328,0.03452813345664658,0.8819776714513556,0.10517854605293488,0.792,0.0819756061276768,0.8263189488427933,0.02480077385188042,0.128,0.15336231610144652
none_edge1,500,1.0,0.1,0.87328,0.03452813345664658,0.8819776714513556,0.10517854605293488,0.792,0.0819756061276768,0.8263189488427933,0.02480077385188042,0.128,0.15336231610144652
none_edge1,500,1.0,auto,0.87328,0.03452813345664658,0.8819776714513556,0.10517854605293488,0.792,0.0819756061276768,0.8263189488427933,0.02480077385188042,0.128,0.15336231610144652
none_edge1,500,auto,0.01,0.87328,0.03452813345664658,0.8819776714513556,0.10517854605293488,0.792,0.0819756061276768,0.8263189488427933,0.02480077385188042,0.128,0.15336231610144652
none_edge1,500,auto,0.05,0.87328,0.03452813345664658,0.8819776714513556,0.10517854605293488,0.792,0.0819756061276768,0.8263189488427933,0.02480077385188042,0.128,0.15336231610144652
none_edge1,500,auto,0.1,0.87328,0.03452813345664658,0.8819776714513556,0.10517854605293488,0.792,0.0819756061276768,0.8263189488427933,0.02480077385188042,0.128,0.15336231610144652
none_edge1,500,auto,auto,0.87328,0.03452813345664658,0.8819776714513556,0.10517854605293488,0.792,0.0819756061276768,0.8263189488427933,0.02480077385188042,0.128,0.15336231610144652
gaussian_edge1,500,1.0,0.01,0.8752000000000001,0.031292171544972734,0.9369473684210525,0.0586557636976832,0.744,0.06066300355241239,0.826066378066378,0.015247034852043522,0.05600000000000001,0.06066300355241241
gaussian_edge1,500,1.0,0.05,0.8752000000000001,0.031292171544972734,0.9369473684210525,0.0586557636976832,0.744,0.06066300355241239,0.826066378066378,0.015247034852043522,0.05600000000000001,0.06066300355241241
gaussian_edge1,500,1.0,0.1,0.8752000000000001,0.031292171544972734,0.9369473684210525,0.0586557636976832,0.744,0.06066300355241239,0.826066378066378,0.015247034852043522,0.05600000000000001,0.06066300355241241
gaussian_edge1,500,1.0,auto,0.8752000000000001,0.031292171544972734,0.9369473684210525,0.0586557636976832,0.744,0.06066300355241239,0.826066378066378,0.015247034852043522,0.05600000000000001,0.06066300355241241
gaussian_edge1,500,auto,0.01,0.8752000000000001,0.031292171544972734,0.9369473684210525,0.0586557636976832,0.744,0.06066300355241239,0.826066378066378,0.015247034852043522,0.05600000000000001,0.06066300355241241
gaussian_edge1,500,auto,0.05,0.8752000000000001,0.031292171544972734,0.9369473684210525,0.0586557636976832,0.744,0.06066300355241239,0.826066378066378,0.015247034852043522,0.05600000000000001,0.06066300355241241
gaussian_edge1,500,auto,0.1,0.8752000000000001,0.031292171544972734,0.9369473684210525,0.0586557636976832,0.744,0.06066300355241239,0.826066378066378,0.015247034852043522,0.05600000000000001,0.06066300355241241
gaussian_edge1,500,auto,auto,0.8752000000000001,0.031292171544972734,0.9369473684210525,0.0586557636976832,0.744,0.06066300355241239,0.826066378066378,0.015247034852043522,0.05600000000000001,0.06066300355241241
gaussian_edge0,200,0.5,0.01,0.86976,0.033763412149840535,0.8221549799263048,0.0903287782564086,0.8400000000000001,0.0848528137423857,0.8238927297843555,0.02279801744471568,0.2,0.132664991614216
gaussian_edge0,200,0.5,0.05,0.86976,0.033763412149840535,0.8221549799263048,0.0903287782564086,0.8400000000000001,0.0848528137423857,0.8238927297843555,0.02279801744471568,0.2,0.132664991614216
gaussian_edge0,200,0.5,0.1,0.86976,0.033763412149840535,0.8221549799263048,0.0903287782564086,0.8400000000000001,0.0848528137423857,0.8238927297843555,0.02279801744471568,0.2,0.132664991614216
gaussian_edge0,200,0.5,auto,0.86976,0.033763412149840535,0.8221549799263048,0.0903287782564086,0.8400000000000001,0.0848528137423857,0.8238927297843555,0.02279801744471568,0.2,0.132664991614216
mask_edge1,200,1.0,0.01,0.8748799999999999,0.0368243397768378,0.8671055381400208,0.05134134235138094,0.792,0.08197560612767682,0.8238484424502662,0.026071746289423534,0.128,0.07155417527999328
mask_edge1,200,1.0,0.05,0.8748799999999999,0.0368243397768378,0.8671055381400208,0.05134134235138094,0.792,0.08197560612767682,0.8238484424502662,0.026071746289423534,0.128,0.07155417527999328
mask_edge1,200,1.0,0.1,0.8748799999999999,0.0368243397768378,0.8671055381400208,0.05134134235138094,0.792,0.08197560612767682,0.8238484424502662,0.026071746289423534,0.128,0.07155417527999328
mask_edge1,200,1.0,auto,0.8748799999999999,0.0368243397768378,0.8671055381400208,0.05134134235138094,0.792,0.08197560612767682,0.8238484424502662,0.026071746289423534,0.128,0.07155417527999328
mask_edge1,200,auto,0.01,0.8748799999999999,0.0368243397768378,0.8671055381400208,0.05134134235138094,0.792,0.08197560612767682,0.8238484424502662,0.026071746289423534,0.128,0.07155417527999328
mask_edge1,200,auto,0.05,0.8748799999999999,0.0368243397768378,0.8671055381400208,0.05134134235138094,0.792,0.08197560612767682,0.8238484424502662,0.026071746289423534,0.128,0.07155417527999328
mask_edge1,200,auto,0.1,0.8748799999999999,0.0368243397768378,0.8671055381400208,0.05134134235138094,0.792,0.08197560612767682,0.8238484424502662,0.026071746289423534,0.128,0.07155417527999328
mask_edge1,200,auto,auto,0.8748799999999999,0.0368243397768378,0.8671055381400208,0.05134134235138094,0.792,0.08197560612767682,0.8238484424502662,0.026071746289423534,0.128,0.07155417527999328
gaussian_edge1,200,1.0,0.01,0.8736,0.03073499633967764,0.8695948963317385,0.11593644127904106,0.792,0.0867179335547152,0.8194010414162267,0.01970470782391477,0.144,0.15646085772486357
gaussian_edge1,200,1.0,0.05,0.8736,0.03073499633967764,0.8695948963317385,0.11593644127904106,0.792,0.0867179335547152,0.8194010414162267,0.01970470782391477,0.144,0.15646085772486357
gaussian_edge1,200,1.0,0.1,0.8736,0.03073499633967764,0.8695948963317385,0.11593644127904106,0.792,0.0867179335547152,0.8194010414162267,0.01970470782391477,0.144,0.15646085772486357
gaussian_edge1,200,1.0,auto,0.8736,0.03073499633967764,0.8695948963317385,0.11593644127904106,0.792,0.0867179335547152,0.8194010414162267,0.01970470782391477,0.144,0.15646085772486357
gaussian_edge1,200,auto,0.01,0.8736,0.03073499633967764,0.8695948963317385,0.11593644127904106,0.792,0.0867179335547152,0.8194010414162267,0.01970470782391477,0.144,0.15646085772486357
gaussian_edge1,200,auto,0.05,0.8736,0.03073499633967764,0.8695948963317385,0.11593644127904106,0.792,0.0867179335547152,0.8194010414162267,0.01970470782391477,0.144,0.15646085772486357
gaussian_edge1,200,auto,0.1,0.8736,0.03073499633967764,0.8695948963317385,0.11593644127904106,0.792,0.0867179335547152,0.8194010414162267,0.01970470782391477,0.144,0.15646085772486357
gaussian_edge1,200,auto,auto,0.8736,0.03073499633967764,0.8695948963317385,0.11593644127904106,0.792,0.0867179335547152,0.8194010414162267,0.01970470782391477,0.144,0.15646085772486357
gaussian_edge1,100,1.0,0.01,0.86624,0.03689726277110538,0.8991830065359476,0.13468701605411826,0.768,0.1073312629199899,0.8148469320720011,0.03216594388038058,0.12,0.1854723699099141
gaussian_edge1,100,1.0,0.05,0.86624,0.03689726277110538,0.8991830065359476,0.13468701605411826,0.768,0.1073312629199899,0.8148469320720011,0.03216594388038058,0.12,0.1854723699099141
gaussian_edge1,100,1.0,0.1,0.86624,0.03689726277110538,0.8991830065359476,0.13468701605411826,0.768,0.1073312629199899,0.8148469320720011,0.03216594388038058,0.12,0.1854723699099141
gaussian_edge1,100,1.0,auto,0.86624,0.03689726277110538,0.8991830065359476,0.13468701605411826,0.768,0.1073312629199899,0.8148469320720011,0.03216594388038058,0.12,0.1854723699099141
gaussian_edge1,100,auto,0.01,0.86624,0.03689726277110538,0.8991830065359476,0.13468701605411826,0.768,0.1073312629199899,0.8148469320720011,0.03216594388038058,0.12,0.1854723699099141
gaussian_edge1,100,auto,0.05,0.86624,0.03689726277110538,0.8991830065359476,0.13468701605411826,0.768,0.1073312629199899,0.8148469320720011,0.03216594388038058,0.12,0.1854723699099141
