dataset,corruption,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
trace,gaussian,0.9407778821417851,0.02738275532343409,0.6625007613245635,0.09873895580353381,0.9999500631554211,2.457656571196055e-05,0.7934931975931833,0.07341200498430556,0.05954277532746444,0.027413269722307506
trace,mask,0.9198361832353685,0.026630106523497964,0.5879251331612256,0.0827497386840093,0.9978057162999736,0.004759215621348663,0.7370516223988701,0.06444263050270611,0.08033427431857026,0.026711927226175904
trace,none,0.9297046399618253,0.020756359146002483,0.6162759648956582,0.06572316040012773,0.9999647504626502,8.044569478306272e-06,0.7608955445185297,0.05172084837654344,0.07059012598596473,0.020869138250248363
