dataset,edge_recon,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
streamspot,False,0.9890000000000001,0.013878940881782008,0.9709470046420361,0.009426936518803438,1.0,0.0,0.9852408016808635,0.004853438296696782,0.03,0.01
streamspot,True,0.9890000000000001,0.013878940881782008,0.9709470046420361,0.009426936518803438,1.0,0.0,0.9852408016808635,0.004853438296696782,0.03,0.01
trace,False,0.94611029565508,0.016576210934283624,0.6766962353668913,0.06884246255232532,0.9978350909144318,0.004734175028819266,0.8049186761066472,0.04920445168282641,0.054012119716697934,0.016438279795126975
trace,True,0.9407778821417851,0.02738275532343409,0.6625007613245635,0.09873895580353381,0.9999500631554211,2.457656571196055e-05,0.7934931975931833,0.07341200498430556,0.05954277532746444,0.027413269722307506
wget,False,0.88928,0.03396751389195272,0.8690659340659341,0.10839219478519384,0.8480000000000001,0.09121403400793103,0.8495985060690943,0.036441274411166374,0.152,0.16589153082662178
wget,True,0.86624,0.03689726277110538,0.8991830065359476,0.13468701605411826,0.768,0.1073312629199899,0.8148469320720011,0.03216594388038058,0.12,0.1854723699099141
