dataset,corruption,edge_recon,pooling,iforest,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
streamspot,gaussian,False,global,100-auto-auto,0.9890000000000001,0.013878940881782037,0.9709470046420361,0.009426936518803379,1.0,0.0,0.9852408016808635,0.0048534382966968995,0.03,0.01
trace,gaussian,False,node-level,200-auto-1.0,0.9963445566687529,0.000676633157502093,0.9667491997309412,0.004882677514926289,0.9997297535469848,4.4790267256081865e-05,0.9829578171074786,0.0025115773693679283,0.003802792437270808,0.000579720736548643
wget,mask,False,typed,100-auto-auto,0.88384,0.034439047605879,0.7882989313424096,0.08145564150243353,0.8800000000000001,0.040000000000000036,0.8286147521964047,0.03566508637980581,0.24800000000000005,0.11798304963002101
