variant,pooling,fit_count,val_fraction,scaler,pca_dim,detector,detector_params,threshold_method,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
mask_edge0,global,100,0.65,standard,48,iforest,n=500;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.9,0.9777777777777776,0.04239729784075317,0.9631868131868131,0.04376676279346731,1.0,0.0,0.9808361080281169,0.023111947297294214,0.11111111111111112,0.13608276348795434,25.0,0.0,1.0,1.224744871391589,8.0,1.224744871391589,0.0,0.0
mask_edge0,global,105,0.55,robust,48,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.9,0.9893333333333333,0.02145336601981723,0.9631868131868131,0.04376676279346729,1.0,0.0,0.9808361080281169,0.0231119472972942,0.11111111111111112,0.13608276348795434,25.0,0.0,1.0,1.224744871391589,8.0,1.224744871391589,0.0,0.0
mask_edge0,global,105,0.55,robust,48,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.9,0.9893333333333333,0.02145336601981723,0.9631868131868131,0.04376676279346729,1.0,0.0,0.9808361080281169,0.0231119472972942,0.11111111111111112,0.13608276348795434,25.0,0.0,1.0,1.224744871391589,8.0,1.224744871391589,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.88,0.9862857142857143,0.027582899168336387,0.9631868131868131,0.04376676279346729,1.0,0.0,0.9808361080281169,0.0231119472972942,0.14285714285714285,0.17496355305594127,25.0,0.0,1.0,1.224744871391589,6.0,1.224744871391589,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.9,0.9862857142857143,0.027582899168336387,0.9631868131868131,0.04376676279346729,1.0,0.0,0.9808361080281169,0.0231119472972942,0.14285714285714285,0.17496355305594127,25.0,0.0,1.0,1.224744871391589,6.0,1.224744871391589,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.88,0.9862857142857143,0.027582899168336387,0.9631868131868131,0.04376676279346729,1.0,0.0,0.9808361080281169,0.0231119472972942,0.14285714285714285,0.17496355305594127,25.0,0.0,1.0,1.224744871391589,6.0,1.224744871391589,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.9,0.9862857142857143,0.027582899168336387,0.9631868131868131,0.04376676279346729,1.0,0.0,0.9808361080281169,0.0231119472972942,0.14285714285714285,0.17496355305594127,25.0,0.0,1.0,1.224744871391589,6.0,1.224744871391589,0.0,0.0
gaussian_edge0,global,95,0.65,robust,48,iforest,n=300;max_samples=1.0;max_features=0.75;bootstrap=False,benign-q0.85,0.9832000000000001,0.023392306427541473,0.9626780626780628,0.03704251548348913,1.0,0.0,0.9806938159879335,0.019231508577157764,0.1,0.1,25.0,0.0,1.0,1.0,9.0,0.9999999999999999,0.0,0.0
gaussian_edge0,global,95,0.65,robust,48,iforest,n=300;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.85,0.9832000000000001,0.023392306427541473,0.9626780626780628,0.03704251548348913,1.0,0.0,0.9806938159879335,0.019231508577157764,0.1,0.1,25.0,0.0,1.0,1.0,9.0,0.9999999999999999,0.0,0.0
gaussian_edge0,global,105,0.65,robust,32,knn,k=10,benign-q0.9,0.9725714285714286,0.0437805287071496,0.9703703703703704,0.04057204129667899,0.992,0.017888543819998326,0.9805337519623233,0.019237976415143437,0.11428571428571428,0.1564921592871903,24.8,0.44721359549995765,0.8,1.0954451150103321,6.2,1.0954451150103324,0.2,0.447213595499958
gaussian_edge0,global,105,0.65,robust,32,knn,k=15,benign-q0.9,0.9725714285714286,0.0437805287071496,0.9703703703703704,0.04057204129667899,0.992,0.017888543819998326,0.9805337519623233,0.019237976415143437,0.11428571428571428,0.1564921592871903,24.8,0.44721359549995765,0.8,1.0954451150103321,6.2,1.0954451150103324,0.2,0.447213595499958
gaussian_edge0,global,105,0.65,standard,32,knn,k=10,benign-q0.9,0.9748571428571429,0.04400371041869361,0.9703703703703704,0.04057204129667899,0.992,0.017888543819998326,0.9805337519623233,0.019237976415143437,0.11428571428571428,0.1564921592871903,24.8,0.44721359549995765,0.8,1.0954451150103321,6.2,1.0954451150103324,0.2,0.447213595499958
mask_edge0,global,95,0.65,standard,40,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.85,0.9800000000000001,0.04039801975344829,0.9785714285714284,0.04791574237499547,0.984,0.021908902300206656,0.9805159799768963,0.02312378785187738,0.06,0.1341640786499874,24.6,0.5477225575051662,0.6,1.3416407864998738,9.4,1.3416407864998738,0.4,0.5477225575051662
mask_edge0,global,95,0.65,standard,40,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.85,0.9800000000000001,0.04039801975344829,0.9785714285714284,0.04791574237499547,0.984,0.021908902300206656,0.9805159799768963,0.02312378785187738,0.06,0.1341640786499874,24.6,0.5477225575051662,0.6,1.3416407864998738,9.4,1.3416407864998738,0.4,0.5477225575051662
mask_edge0,global,95,0.65,standard,40,iforest,n=300;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.85,0.9800000000000001,0.04039801975344829,0.9785714285714284,0.04791574237499547,0.984,0.021908902300206656,0.9805159799768963,0.02312378785187738,0.06,0.1341640786499874,24.6,0.5477225575051662,0.6,1.3416407864998738,9.4,1.3416407864998738,0.4,0.5477225575051662
mask_edge0,global,95,0.65,standard,40,iforest,n=300;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.85,0.9800000000000001,0.04039801975344829,0.9785714285714284,0.04791574237499547,0.984,0.021908902300206656,0.9805159799768963,0.02312378785187738,0.06,0.1341640786499874,24.6,0.5477225575051662,0.6,1.3416407864998738,9.4,1.3416407864998738,0.4,0.5477225575051662
mask_edge0,global,95,0.65,robust,48,knn,k=10,benign-q0.9,0.9888,0.019057806799314514,0.9698005698005698,0.031166971338810495,0.992,0.01788854381999834,0.980382922399729,0.0136067026296504,0.08,0.08366600265340757,24.8,0.44721359549995815,0.8,0.8366600265340756,9.2,0.8366600265340755,0.2,0.447213595499958
mask_edge0,global,95,0.65,robust,48,knn,k=15,benign-q0.9,0.9888,0.019057806799314514,0.9698005698005698,0.031166971338810495,0.992,0.01788854381999834,0.980382922399729,0.0136067026296504,0.08,0.08366600265340757,24.8,0.44721359549995815,0.8,0.8366600265340756,9.2,0.8366600265340755,0.2,0.447213595499958
mask_edge0,global,95,0.65,robust,48,knn,k=5,benign-q0.9,0.9888,0.019057806799314514,0.9698005698005698,0.031166971338810495,0.992,0.01788854381999834,0.980382922399729,0.0136067026296504,0.08,0.08366600265340757,24.8,0.44721359549995815,0.8,0.8366600265340756,9.2,0.8366600265340755,0.2,0.447213595499958
mask_edge0,global,95,0.65,standard,48,knn,k=10,benign-q0.9,0.9880000000000001,0.02078460969082649,0.9698005698005698,0.031166971338810495,0.992,0.01788854381999834,0.980382922399729,0.0136067026296504,0.08,0.08366600265340757,24.8,0.44721359549995815,0.8,0.8366600265340756,9.2,0.8366600265340755,0.2,0.447213595499958
mask_edge0,global,95,0.65,standard,48,knn,k=15,benign-q0.9,0.9880000000000001,0.02078460969082649,0.9698005698005698,0.031166971338810495,0.992,0.01788854381999834,0.980382922399729,0.0136067026296504,0.08,0.08366600265340757,24.8,0.44721359549995815,0.8,0.8366600265340756,9.2,0.8366600265340755,0.2,0.447213595499958
mask_edge0,global,95,0.65,standard,48,knn,k=5,benign-q0.9,0.9880000000000001,0.02078460969082649,0.9698005698005698,0.031166971338810495,0.992,0.01788854381999834,0.980382922399729,0.0136067026296504,0.08,0.08366600265340757,24.8,0.44721359549995815,0.8,0.8366600265340756,9.2,0.8366600265340755,0.2,0.447213595499958
